olympus_id,created_at,created_by,updated_at,updated_by,cusip,isin,sedol,occ_symbol,issuer_olympus_id,ultimate_issuer_olympus_id,description,quote_currency,round_lot,price_factor,minimum_piece,coupon,maturity,ticker,amount_outstanding,market_sector_description,maturity_type,collateral_type,issue_date,first_settle_date,days_to_settle,figi,asset_type,price
45815,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,CND10004KM54,BQFL7W0,,4876409,6388822,CCAMCL V4.4 PERP,CNY,10000,0.01,10000,4.4,,CCAMCL,10000000000,Corp,PERP/CALL,JR SUBORDINATED,8/16/2021,8/16/2021,1,BBG01231VXK9,Bond,75.97
68312,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,69369EAD1,US69369EAD13,B82TGR9,,6388721,4781249,PERTIJ 6 05/03/42 144A,USD,1000,0.01,200000,6,5/3/2042,PERTIJ,1221590000,Corp,AT MATURITY,SR UNSECURED,5/3/2012,5/3/2012,2,BBG002Y77BT9,Bond,102.59
68368,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,71568PAB5,US71568PAB58,B8BFZ93,,2758479,4781249,PLNIJ 5.25 10/24/42 144A,USD,1000,0.01,200000,5.25,10/24/2042,PLNIJ,1000000000,Corp,AT MATURITY,SR UNSECURED,10/24/2012,10/24/2012,2,BBG003H30QM6,Bond,68.29
69424,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,USY7138AAD29,B76MX65,,6388721,4781249,PERTIJ 6 05/03/42 REGS,USD,1000,0.01,200000,6,5/3/2042,PERTIJ,1221590000,Corp,AT MATURITY,SR UNSECURED,5/3/2012,5/3/2012,2,BBG002Y7CST6,Bond,66.1
70642,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,USY06072AG07,BR56476,,4587951,5451367,BBLTB 5.3 09/21/28 REGS,USD,1000,0.01,200000,5.3,9/21/2028,BBLTB,500000000,Corp,CALLABLE,SR UNSECURED,9/21/2023,9/21/2023,2,BBG01J9WTHD4,Bond,98.14
70643,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,USY06072AF24,BR55K31,,4587951,5451367,BBLTB 5.5 09/21/33 REGS,USD,1000,0.01,200000,5.5,9/21/2033,BBLTB,750000000,Corp,CALLABLE,SR UNSECURED,9/21/2023,9/21/2023,2,BBG01J9WTJN9,Bond,78.76
74140,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,USY7138AAF76,B99BSP7,,6388721,4781249,PERTIJ 5.625 05/20/43 REGS,USD,1000,0.01,200000,5.625,5/20/2043,PERTIJ,1433261000,Corp,AT MATURITY,SR UNSECURED,5/20/2013,5/20/2013,2,BBG004K6DCN9,Bond,101.77
74598,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,XS2175968580,BMF84N3,,5278522,7025342,MUBAUH 3.95 05/21/50 GMTN,USD,1000,0.01,200000,3.95,5/21/2050,MUBAUH,2000000000,Corp,CALLABLE,COMPANY GUARNT,5/21/2020,5/21/2020,2,BBG00TSS39H3,Bond,88.53
75080,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,XS2397254579,BL5C6Y3,,4876409,6388822,CCAMCL V4.4 PERP .,USD,1000,0.01,200000,4.4,,CCAMCL,1700000000,Corp,PERP/CALL,JR SUBORDINATED,11/3/2021,11/3/2021,2,BBG0135X3M39,Bond,73.29
75236,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,00131L2B0,US00131L2B06,BKHDRG6,,5486067,5486067,AIA 4.875 03/11/44 144A,USD,1000,0.01,200000,4.875,3/11/2044,AIA,500000000,Corp,AT MATURITY,SR UNSECURED,3/11/2014,3/11/2014,2,BBG0063J3XN0,Bond,77.57
75638,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,XS2362416617,BP2PQ43,,2744547,2744547,SOFTBK 3.875 07/06/32,EUR,1000,0.01,100000,3.875,7/6/2032,SOFTBK,452929000,Corp,CALLABLE,SR UNSECURED,7/6/2021,7/6/2021,2,BBG011MR1RX5,Bond,80.12
